幹嘛 搞 得 這麼 誇張,聽說 在 舉行 這 場 發佈 會 之前 就 已 有 商業 間諜 在 暗地裡 展開 各種 活動 了 
爸爸 ， 警局 的 高層 好像 也 來 了 ， 不要 喝 得 太多 啦,知道 啦 
這裡 應該 是 隨便 吃 的 吧,大概 是 吧 
不是 告訴 過 你 要用 小孩子 的 口氣 說話 嗎,這樣 可以 吧 
怎樣 ， 這樣 可以 吧,好 可怕 
難道 園子 也 被 選上 了 嗎,因為 鈴木 財團 也 出資 贊助 了 遊戲 開發 
再說 ， 你們 真的 有 被 邀請 嗎,太 失禮 了 吧 
你們 知道 嗎 ， 人 在 出生 的時候 就 已經 決定 他 的 一生 了,是 啊 是 啊 
沉睡 的 小 五郎 是 睡著 時 讓 老婆 逃掉 了 才 會 有 這個 綽號 的 吧,才 不是 在 睡覺 的時候 呢 
你們 的 父母 沒有 教 你們 什麼 叫作 公共道德 嗎,了不起 死 了 ， 不 借 你 錢 了 
大叔 ， 你 是不是 不 認識 我們 ？ 如果 和 我們 作對,明天 就 要 被 炒魷魚 了 哦 
那麼 ， 在 這 之前 ， 讓 我 先 把 你們 從 這裡 趕出去 吧,走 吧 
你 這個月 去 哪兒 了,幫 爸爸 做 事去 了 
媽媽 呢,她 說 好久 沒 回 日本 了 ， 所以 去 參加 同窗 聚會 了 
一定 是 他 很 努力 想出來 的,就 讓 他 說說 看 吧 
為什麼 啊,因為 「 繭 」 的 樣子 很 像 搖籃 
不對 ， 我 覺得 是 一 ， 表彰,那個 也 不對 
看來 他 還 真的 是 很 喜歡 這 東西,在此 類 銅像 中 有 如此 充滿 鬥志 的 姿態 真是 罕見 
大概 跟 他自己 很 像 吧,糟糕 
秀樹 ， 別在 這裡 踢球,是 
好像 有點 過分 了,才 不會 呢 
看上去 都 是 些 便宜貨,不會 吧 
這種 地方 怎麼 可能 放 貴重 的 東西 呢,說 得 也 是 
堅村 先生 在 哪裡 ， 我 想見 他,是 ， 我 馬上 去 找 他 ， 工藤 先生 
麻煩 您 簽名,先生 ， 我 也 要 
你 看起來 很 精神 ， 我 也 就 放心 了,你 也 是 
我 必須 馬上 趕回 會場,你 就 直接了當 的 說 ， 如何 
弘樹 托付 給 你的 DNA 探查 程式 ， 你 到底 打算 要 多少 錢 才 肯 賣給 我,我 並 沒 打算 向 你 勒索 ， 我 只 希望 你 能 贖罪 
主任 ， 工藤 先生 說 要見 您,打攪 了 
怎麼 了 ， 主任,這次 又 有 什麼 花樣 呢 
接下來,請 欣賞 今天 的 特別 嘉賓 
什麼 ， 洋子 也 來 了 嗎,得去 搶 最前面 的 位子 才行 
千葉 ， 封鎖 所有 的 出入口,遵命 
好像 來 了 很多 大人物,是的 
警視廳 副 總監,金融界 的 實業家 
請帶 我 過去,是 
爸爸 和 柯南 到 哪裡 去 了,警官 大人 
哦 ， 毛利,你 也 來 啦 
凶器 可能 是 兇手 珍愛 的 東西 吧,要不 就是 留下來 會 讓 人 知道 兇手 是 誰 
話說回來 ， 為什麼 開發 負責人 會呆 在 這種 地下室 呢,因為 主任 說 在 人 出入 頻繁 的 地方 無法 集中 精力 ， 所以 一個人 在 這兒 
桌上 的 鍵盤 會不會 是 死亡 訊息,什麼 
那 不是 柯南 嗎,柯南 為什麼 會 在 遊戲 參加 者 的 行列 裡 
可是 這樣 園子 你 ...,沒關係 ， 我 一點 興趣 都 沒有 
聽說 你 跟 堅村 是 長久以來 的 老朋友,知不知道 他 跟 什麼 人 有仇 
你 不是 跟 他 在一起 的 嗎,他 剛才 還 在 這裡 
難道 柯南 用了 我 送給 他 的 禮物 了 嗎,我們 走 吧 ， 博士 
辛 多拉 社長 ， 系統 發生 異常,什麼 
那是 在 兩 年前 由 被 我 當成 親生 兒子 般 疼愛 的 弘樹 所 完成 的,所以 現在 應該 跟 弘樹 是 同樣 年紀 
你 控制 孩子 們 的 遊戲 想 幹什麼,我的 目的 是 想要 讓 日本 這個 國家 重生 
為什麼 你 會 在 這裡,因為 我 擔心 你 啊 
說 了 那麼多 ， 原來 你 也 很想 參加 這個 遊戲 啊,是 呀 
這裡 似乎 有 什麼 線索,殺死 堅村 的 兇手 的 線索 
如果 大家 都 出局 的 話 ， 我們 真的 會死 嗎,我 可能 沒辦法 活下去 
為什麼 我們 會 遇到 這麼 倒霉 的 事,人家 又 不是 因為 自己 想要 而 成為 爸爸 的 孩子 的 
你們 也 和 我們 一塊 嗎,別 妨礙 我們 哦 
這是 我們 要 說 的 話 才 對,好了 好了 ， 不要 吵架 
為什麼 會 變得 如此 失控,讓 我 來 好好 說明 
弘樹 之所以 想 開發 人工 智慧,是 因為 自己 曾經 有過 這種 痛苦 的 經歷 
若 能 將 「 遵循 父母 所鋪 的 路走 就 行 」 這種 社會 現象 加以 破壞 的 話,日本 就 會 改變 
他 委託 你 調查 什麼 事,他 要 我 再 調查 一次關 於 弘樹 的 自殺 事件 
你 是 說 弘樹 不是 自殺 而是 他殺 嗎,不 ， 以 那種 情況 來說 應該 是 自殺 
堅村 先生 和 弘樹 是 什麼 關係,堅村 是 弘樹 的 父親 
要進 這裡 面去 嗎,走 吧 
