弘樹，你在做什麼,諾亞方舟，出航
幹嘛搞得這麼誇張,聽說在舉行這場發佈會之前就已有商業間諜在暗地裡展開各種活動了
那是什麼東西啊,那就是「繭」啊
爸爸，警局的高層好像也來了，不要喝得太多啦,知道啦
這裡應該是隨便吃的吧,大概是吧
不是告訴過你要用小孩子的口氣說話嗎,這樣可以吧
怎樣，這樣可以吧,好可怕
難道園子也被選上了嗎,因為鈴木財團也出資贊助了遊戲開發
再說，你們真的有被邀請嗎,太失禮了吧
你們知道嗎，人在出生的時候就已經決定他的一生了,是啊是啊
沉睡的小五郎是睡著時讓老婆逃掉了才會有這個綽號的吧,才不是在睡覺的時候呢
你是誰啊，大叔,我是「繭」的研發負責人，堅村
你們的父母沒有教你們什麼叫作公共道德嗎,了不起死了，不借你錢了
大叔，你是不是不認識我們？如果和我們作對,明天就要被炒魷魚了哦
那麼，在這之前，讓我先把你們從這裡趕出去吧,走吧
你這個月去哪兒了,幫爸爸做事去了
媽媽呢,她說好久沒回日本了，所以去參加同窗聚會了
一定是他很努力想出來的,就讓他說說看吧
為什麼啊,因為「繭」的樣子很像搖籃
不對，我覺得是一，表彰,那個也不對
看來他還真的是很喜歡這東西,在此類銅像中有如此充滿鬥志的姿態真是罕見
大概跟他自己很像吧,糟糕
秀樹，別在這裡踢球,是
好像有點過分了,才不會呢
看上去都是些便宜貨,不會吧
這種地方怎麼可能放貴重的東西呢,說得也是
堅村先生在哪裡，我想見他,是，我馬上去找他，工藤先生
麻煩您簽名,先生，我也要
你看起來很精神，我也就放心了,你也是
我必須馬上趕回會場,你就直接了當的說，如何
弘樹托付給你的DNA探查程式，你到底打算要多少錢才肯賣給我,我並沒打算向你勒索，我只希望你能贖罪
主任，工藤先生說要見您,打攪了
怎麼了，主任,這次又有什麼花樣呢
接下來,請欣賞今天的特別嘉賓
什麼，洋子也來了嗎,得去搶最前面的位子才行
千葉，封鎖所有的出入口,遵命
好像來了很多大人物,是的
警視廳副總監,金融界的實業家
請帶我過去,是
好，讓各位久等了,大家請到「繭」的會場去
爸爸和柯南到哪裡去了,警官大人
哦，毛利,你也來啦
凶器可能是兇手珍愛的東西吧,要不就是留下來會讓人知道兇手是誰
話說回來，為什麼開發負責人會呆在這種地下室呢,因為主任說在人出入頻繁的地方無法集中精力，所以一個人在這兒
桌上的鍵盤會不會是死亡訊息,什麼
那不是柯南嗎,柯南為什麼會在遊戲參加者的行列裡
可是這樣園子你...,沒關係，我一點興趣都沒有
聽說你跟堅村是長久以來的老朋友,知不知道他跟什麼人有仇
你不是跟他在一起的嗎,他剛才還在這裡
難道柯南用了我送給他的禮物了嗎,我們走吧，博士
辛多拉社長，系統發生異常,什麼
那是在兩年前由被我當成親生兒子般疼愛的弘樹所完成的,所以現在應該跟弘樹是同樣年紀
你控制孩子們的遊戲想幹什麼,我的目的是想要讓日本這個國家重生
為什麼你會在這裡,因為我擔心你啊
說了那麼多，原來你也很想參加這個遊戲啊,是呀
這裡似乎有什麼線索,殺死堅村的兇手的線索
如果大家都出局的話，我們真的會死嗎,我可能沒辦法活下去
為什麼我們會遇到這麼倒霉的事,人家又不是因為自己想要而成為爸爸的孩子的
你們也和我們一塊嗎,別妨礙我們哦
這是我們要說的話才對,好了好了，不要吵架
為什麼會變得如此失控,讓我來好好說明
弘樹之所以想開發人工智慧,是因為自己曾經有過這種痛苦的經歷
若能將「遵循父母所鋪的路走就行」這種社會現象加以破壞的話,日本就會改變
他委託你調查什麼事,他要我再調查一次關於弘樹的自殺事件
你是說弘樹不是自殺而是他殺嗎,不，以那種情況來說應該是自殺
堅村先生和弘樹是什麼關係,堅村是弘樹的父親
要進這裡面去嗎,走吧
工藤先生既然負責策劃這個遊戲，應該知道如何攻關吧,是的
只要能聯絡,我就可以給予指示幫助他們
好冷,穿上這個吧
灰原，穿上外套吧,哎呀，謝謝你
我很怕熱，沒關係的,謝謝
聽得到嗎，柯南,我是阿笠
怎麼了，博士,聽不見啊
那麼，我們怎樣才能找到能幫助我們的角色呢,剛才警察不是已經說了嗎
可是，那是出現在柯南道爾小說中的人物吧,這個遊戲可能是個將現實與小說融合在一起的世界
那幫助我們的人是那位夏洛克福爾摩斯嗎,是，他應該是存在於這個世界的
真的嗎，有福爾摩斯的話,就等於多了100人的力量啊
我們快走吧，去貝克街,好啊，只要能見到福爾摩斯
喂，你不覺得那個鐘有點怪嗎,分針倒回去了
這是什麼意思,是在被幹掉之前先把對方幹掉吧
這麼晚了，是哪位,我，我叫毛利蘭
喂，博士,到底是怎麼回事啊
可惡，如果孩子們贏了,我就要把你這種電腦扔到大型垃圾回收場
就是你們在兩個禮拜前幫助福爾摩斯先生破案立了大功吧,來吧，快請進來吧
那是什麼,福爾摩斯僱傭的流浪小孩們
也就是我們少年偵探團的前輩,沒錯
你們先放鬆休息吧,謝謝你
我們該怎麼做呢,那個戴眼鏡的一定知道
既然是福爾摩斯,那他一定收集了很多關於開膛手傑克的資料
那麼，大家分頭來找找看吧,好，那我找這邊
既然這樣,我好想一直呆在遊戲裡啊
有了，是不是這個,關於開膛手傑克的調查
那傢伙是誰啊,自顧自說，我們可不明白啊
他是福爾摩斯的宿敵,控制著倫敦的黑暗勢力
據說他對整個歐洲都有著很大的影響力,犯罪界的拿破侖
既然教授不露身影,那我們就去找跟他有關的人好了
哇，是真槍耶,放回去，元太
可是我們不是要去見危險的傢伙嗎,還沒用慣的武器是派不上用場的，只會惹出麻煩
你們怎麼也進來了,想一個人獨佔功勞，門都沒有
他在出老千,你看得出來嗎
你有我出老千的證據嗎,當然有
莫蘭，你太卑鄙了,是你自己要上當的
莫里亞蒂教授在哪兒,小鬼，你怎麼會知道他的
我被打倒了,這樣我就還了你救我的人情了
本來打算抓住你們後再逼問你們是誰的手下,不過現在看來沒有必要了
那你就開槍吧,即使教授的紅酒被打破也沒關係的話
你想違抗莫里亞蒂大人嗎,我將他們帶來了
把那瓶紅酒交給我吧,好的
你能和莫蘭上校互相較量,不愧是福爾摩斯的弟子
聲音全都是教授用腹語講的，對吧,沒想到連這點都被你看穿
你是怎麼知道的,因為剛才莫蘭上校對大叔說「請等一下」
只有這點而已嗎,還有一點
你是在還他紅酒時聞到這股味道的是嗎,是的
為什麼要殺害無辜的女性呢,開膛手變成了超乎我想像的殺人惡魔
你要命令他殺誰,看明天的報紙就知道了
喂，你真的相信這個老頭說的話嗎,賭賭看吧
我很喜歡福爾摩斯當時所說的一句話，你知道是什麼嗎,不知道
已經過去的事即使後悔也沒用了,你們會這麼想已經可以算是成長了
據說是福爾摩斯一生中唯一愛過的女人,也就是把福爾摩斯所愛的人作為殺害的目標
請問休息室在哪裡,就在最裡面貼有海報的房間
福爾摩斯人呢,他本來很期待今晚的演出，因為出去調查案件了，所以沒法來
為什麼要殺我,因為他想看到福爾摩斯失去你之後悲傷的表情
你真的無所謂嗎？成為開膛手傑克的第五個犧牲者,大家會保護我的，不是嗎
雖然找不到幫助我們的角色,但對我們而言你就是福爾摩斯
你，你擁有這種能力,沒有什麼案子是福爾摩斯解決不了的對吧
我還沒問你的名字呢,我叫江戶川柯南
請將乘客集中到同一節車廂中,知道了
那麼各位，請舉起雙手,好讓我們確認手上是否持有凶器
難道說這隻小戒指是開膛手傑克的嗎,是的
開膛手傑克因為很想跟母親一起參加義賣會所以才留下戒指的是嗎,嗯，好像是這意思
如果從小就一直戴著同樣尺寸的戒指的話，你想那根手指會變成什麼樣呢,也許十根手指裡面只有那根手指特別的細
你知道兇手是誰了嗎,問題在於兇手是如何準備凶器的
因此可以想到的只能是,凶器是從一開始就佈置在會場裡的東西
可是，那個東西在哪裡,晚會會場裡的銅像其中有一尊握著短劍
要是去拔那個東西肯定會被人看到的,趁會場的燈光熄滅時拔下來的
可是，要是短劍不見了的話，應該會有人發現的吧,他放了假的在上面
那現在銅像手上拿的就是作案時使用的短劍咯,是的
如果剛才踢下來的短劍是真的，應該也會檢測出少年的指紋才對,可是短劍上只有辛多拉社長一個人的指紋
聽說銅像上的短劍是辛多拉家族歷代家傳的古董寶貝，是吧,你說的沒錯
殺死母親，報了多年的怨恨後，現在你還想要什麼,我想要活下去
讓流在我身體裡的罪惡之血,乘著諾亞方舟流傳到下個世紀
這把短劍呢,據說是一百年前的連續殺人惡魔，開膛手傑克所使用過的凶器
為什麼你不加以抗爭呢,就像現在的柯南他們一樣
你知道是什麼嗎,不知道
如果真的可以將你毀滅的話,為了公眾的利益我會很樂意迎接死亡
喂，如果不把列車停下我們還能存活下去嗎,我們還不能說已經贏了這場遊戲啊
難道你想辜負大家的希望嗎,傻瓜，我也不想放棄啊
讓大家得救的唯一方法,只有切斷火車頭與客車車廂的連接部分才行
可是只靠我們兩人的力量,根本掰不動那個連接部分
你們還沒有渾身浴血,你們還活著不是嗎
你們已經放棄了嗎,你們明明已經把手放在了解開真相的繩結上了
在人生這條無色的繩索中纏繞著一條叫作殺人的紅色繩索,而我們的工作不就是解開這個結嗎
到底是怎麼回事,先別問，快過來
你借用了諸星的數據一起參加了這個遊戲是吧,你是什麼時候發現的
你不用擔心,現在我已經把跟現實世界的通信切斷了
其實你相信我們一定會團結一致克服所有的危機,不是嗎
哪怕一次也好,因為我總是在工作
第一次見面時說的那句話嗎,奇怪，你是怎麼知道的
我也是從新一哥哥那裡聽來的,原來是這樣啊
還多虧他纏著我們講,所以這次我們才得救了
多里亞先生嗎,我是佛吉尼亞·古德曼
進來吧,謝謝
給我兩分鐘時間穿衣服,好的
我以為你會晚點到,沒錯，遺憾的是，出了點狀況
我打不通菲利克斯的電話,他出城了
但他向我保證我不會有事，他有個計策...,他上次也跟我這麼說
但我們仍不知道是什麼，我現在只知道一件事,什麼
你今晚很可能被傳喚參加聽證會,你在說什麼
如果我有想補充的，你覺得我會到現在還沒說嗎,他們會提請將你立即逮捕，多里亞先生
為什麼是這家離你住處300公里遠的酒店,不知道
把你們叫到那麼偏遠的地方，不覺得奇怪嗎,這有關係嗎
你和你的情婦以前去過那裡嗎,古德曼女士，我被指控謀殺，這才是問題
怎麼了,他拿到了你的手機
我會解釋一切，來貝拉維斯塔酒店715號房,這是圈套
醒後最先是什麼情況，記得嗎,有敲門聲
按你的說法來看，殺害你情婦的兇手只能是蒸發了,看起來是這樣
酒店職工說只有你有鑰匙,那個作案現場是用來陷害我的
誰設的,不知道
出於什麼原因,我不知道
不然你知道會怎麼樣嗎,怎麼樣
你會不會被判罪，不是我的職責,你錯了
我告訴你這是場陰謀，你會怎麼想,我跟你說了怎麼回事，你還要我說什麼
親愛的，巴黎之行怎麼樣,法國人太噁心了
談得不順利?,我們沒達成共識
索尼婭，我得去機場了,好的，你要回家還是回巴賽隆納待著
登機後給我發條簡訊，我愛你,我也愛你
是誰,索尼婭
幾點了,快六點了，我們睡過頭了
導航上不是這個方向,往這條路開更快
要我開嗎,來，開吧
我喜歡我們在一起的感覺,還記得我們起初說過的話嗎
你想離開索尼婭?,不想
你沒事嗎,應該沒事
聽著，我們沒錯，都怪那頭該死的鹿,我開得太靠左了
你在說什麼,要嘛犧牲他，要嘛犧牲我們，阿德里安
糟糕,怎麼了
他要是看到了什麼怎麼辦,沒有
他要是看到了車裡的人呢,得把人帶走
你瘋了嗎,他是目擊者，懂嗎
你好,你好，一切都好嗎
你有手電筒嗎,這車是我姊姊借來的，所以我不知道放哪了
要多久,修理
拖車?,不是，修理
你怎麼來這裡了,我姊姊住在巴瓦斯特羅
你是做什麼的,我是開書店的
你還沒告訴我你的名字,拉奎爾
拉奎爾，你的手機響了,沒錯
你的航班是幾點的,我正想打電話跟你說我趕不上了
這裡干擾太多了，你趕不上是出什麼事了嗎,沒有，只是引擎出了問題
蘿拉，你沒事吧,我沒事，很抱歉我沒早點打電話給你
我愛你,我也愛你
很高興認識你,我也是
你受傷了嗎，你的手腕上有血,可能是鹿身上的
你要喝咖啡嗎,好的
進來吧,不了，我就在這等
你有孩子嗎，我看到你戴著...,沒有，沒有
我丈夫想要，我也想要，但工作太忙，所以...,別拖太久就好
留下吃晚飯嗎,已經很晚了，我得走了，抱歉
他有對你說過什麼嗎,或許他改主意了
為什麼撒謊,或許他認識了一個姑娘
你聽到了嗎,聽到了
你在這裡有聽到電話鈴聲嗎,沒
他出門從不會不帶手機,他大概忘記帶了
你怎麼看，拉奎爾,很遺憾，太晚了，我真的得走了
不好意思,沒事
菲利克斯，你在哪,我剛下飛機，在畢爾巴鄂的機場
佛吉尼亞·古德曼在我這，她說控方比我們領先一步,領先一步?
你什麼時候回來,今晚，把電話給她
菲利克斯?,怎麼回事
有個新的證人，現在在法院了,佛吉尼亞?
報告中沒有這個，你怎麼知道,這和細節有關，多里亞先生
這是什麼意思,聽著
然後呢,這名女子的車牌號
你為什麼那麼緊張,你不告訴我，我沒法幫你
你跟那起男孩失蹤案有關嗎,我當時不在巴黎
我和一個女人在一起,所以伊娃證明不了你去過巴黎
你能偽造成我去過嗎，幫我搞個不在場證明?,我有的選嗎
我還有一件事要你幫忙,什麼
