弘 樹 ， 你 在 做 什麼,諾亞方舟 ， 出航
幹嘛 搞 得 這麼 誇張,聽說 在 舉行 這場 發佈會 之前 就 已有 商業間諜 在 暗地 裡 展開 各種 活動 了
那 是 什麼 東西 啊,那 就是 「 繭 」 啊
爸爸 ， 警局 的 高層 好像 也 來 了 ， 不要 喝 得 太 多 啦,知道 啦
這 裡 應該 是 隨便 吃 的 吧,大概 是 吧
不是 告訴 過 你 要 用 小孩子 的 口氣 說話 嗎,這樣 可以 吧
怎樣 ， 這樣 可以 吧,好 可怕
難道 園子 也 被 選 上 了 嗎,因 為 鈴木 財團 也 出資 贊助 了 遊戲 開發
再說 ， 你們 真的 有 被 邀請 嗎,太 失禮 了 吧
你們 知道 嗎 ， 人 在 出生 的 時候 就 已經 決定 他 的 一生 了,是 啊 是 啊
沉睡 的 小五郎 是 睡 著 時 讓 老婆 逃掉 了 才 會 有 這個 綽號 的 吧,才 不是 在 睡覺 的 時候 呢
你 是 誰 啊 ， 大叔,我 是 「 繭 」 的 研發 負責人 ， 堅 村
你們 的 父母 沒有 教 你們 什麼 叫作 公共道德 嗎,了不起 死 了 ， 不 借 你 錢 了
大叔 ， 你 是不是 不 認識 我們 ？ 如果 和 我們 作對,明天 就要 被 炒魷魚 了 哦
那麼 ， 在 這 之前 ， 讓 我 先 把 你們 從 這 裡 趕出去 吧,走 吧
你 這個 月 去 哪兒 了,幫 爸爸 做事 去 了
媽媽 呢,她 說好 久 沒 回 日本 了 ， 所以 去 參加 同窗 聚會 了
一定 是 他 很 努力 想 出來 的,就讓 他 說說看 吧
為 什麼 啊,因 為 「 繭 」 的 樣子 很 像 搖籃
不 對 ， 我 覺得 是 一 ， 表彰,那個 也 不 對
看來 他 還 真的 是 很 喜歡 這 東西,在 此類 銅像 中 有 如此 充滿 鬥志 的 姿態 真是 罕見
大概 跟 他 自己 很 像 吧,糟糕
秀 樹 ， 別 在 這 裡 踢球,是
好像 有點 過分 了,才 不會 呢
看上去 都 是 些 便宜貨,不會 吧
這種 地方 怎麼 可能 放 貴重 的 東西 呢,說 得 也 是
堅 村 先生 在 哪 裡 ， 我 想見 他,是 ， 我 馬上 去 找 他 ， 工 藤 先生
麻煩 您 簽名,先生 ， 我 也 要
你 看起來 很 精神 ， 我 也 就 放心 了,你 也 是
我 必須 馬上 趕回 會場,你 就 直接了當 的 說 ， 如何
弘 樹 托付 給 你 的 DNA 探查 程式 ， 你 到底 打算 要 多少錢 才 肯 賣 給 我,我 並 沒 打算 向 你 勒索 ， 我 只 希望 你 能 贖罪
主任 ， 工 藤 先生 說 要 見 您,打攪 了
怎麼 了 ， 主任,這次 又 有 什麼 花樣 呢
接下來,請 欣賞 今天 的 特別 嘉賓
什麼 ， 洋 子 也 來 了 嗎,得 去 搶 最 前面 的 位子 才 行
千葉 ， 封鎖 所有 的 出入口,遵命
好像 來 了 很多 大人物,是 的
警視廳 副 總監,金融界 的 實業家
請 帶 我 過去,是
好 ， 讓 各位 久等 了,大家 請到 「 繭 」 的 會場 去
爸爸 和 柯 南 到 哪 裡 去 了,警官 大人
哦 ， 毛利,你 也 來 啦
凶器 可能 是 兇手 珍愛 的 東西 吧,要 不 就是 留下來 會 讓 人 知道 兇手 是 誰
話說回來 ， 為 什麼 開發 負責人 會 呆 在 這種 地下室 呢,因 為 主任 說 在 人 出入 頻繁 的 地方 無法 集中精力 ， 所以 一個 人 在 這兒
桌上 的 鍵盤 會 不會 是 死亡 訊息,什麼
那 不是 柯 南 嗎,柯 南 為 什麼 會 在 遊戲 參加者 的 行列 裡
可是 這樣 園子 你 . . .,沒關係 ， 我 一點 興趣 都 沒有
聽說 你 跟 堅 村 是 長久以來 的 老朋友,知不知道 他 跟 什麼 人 有 仇
你 不是 跟 他 在 一起 的 嗎,他 剛 才 還 在 這 裡
難道 柯 南 用 了 我 送給 他 的 禮物 了 嗎,我們 走 吧 ， 博士
辛 多拉 社長 ， 系統 發生 異常,什麼
那 是 在 兩年 前 由 被 我 當成 親生 兒子般 疼愛 的 弘 樹 所 完成 的,所以 現在 應該 跟 弘 樹 是 同樣 年紀
你 控制 孩子 們 的 遊戲 想幹什麼,我 的 目的 是 想要 讓 日本 這個 國家 重生
為 什麼 你 會 在 這 裡,因 為 我 擔心 你 啊
說 了 那麼 多 ， 原來 你 也 很 想 參加 這個 遊戲 啊,是 呀
這 裡 似乎 有 什麼 線索,殺死 堅 村 的 兇手 的 線索
如果 大家 都 出局 的話 ， 我們 真的 會 死 嗎,我 可能 沒 辦法 活下去
為 什麼 我們 會 遇到 這麼 倒霉 的 事,人家 又 不是 因 為 自己 想要 而 成 為 爸爸 的 孩子 的
你們 也 和 我們 一塊 嗎,別 妨礙 我們 哦
這 是 我們 要說 的話 才 對,好 了 好 了 ， 不要 吵架
為 什麼 會 變得 如此 失控,讓 我 來 好好 說明
弘 樹 之所以 想 開發 人工智慧,是 因 為 自己 曾經 有 過 這種 痛苦 的 經歷
若 能 將 「 遵循 父母 所 鋪 的 路 走 就 行 」 這種 社會 現象 加以 破壞 的話,日本 就 會 改變
他 委託 你 調查 什麼 事,他 要 我 再 調查 一次 關於 弘 樹 的 自殺 事件
你 是 說 弘 樹 不是 自殺 而是 他殺 嗎,不 ， 以 那種 情況 來說 應該 是 自殺
堅 村 先生 和 弘 樹 是 什麼 關係,堅 村 是 弘 樹 的 父親
要 進 這 裡 面 去 嗎,走 吧
工 藤 先生 既然 負責 策劃 這個 遊戲 ， 應該 知道 如何 攻關 吧,是 的
只要 能 聯絡,我 就 可以 給予 指示 幫助 他們
好 冷,穿 上 這個 吧
灰 原 ， 穿 上 外套 吧,哎呀 ， 謝謝 你
我 很 怕熱 ， 沒關係 的,謝謝
聽 得到 嗎 ， 柯 南,我 是 阿 笠
怎麼 了 ， 博士,聽不見 啊
那麼 ， 我們 怎樣才能 找到 能 幫助 我們 的 角色 呢,剛 才 警察 不是 已經 說 了 嗎
可是 ， 那 是 出現 在 柯南道 爾 小說 中 的 人物 吧,這個 遊戲 可能 是 個 將 現實 與 小說 融合 在 一起 的 世界
那 幫助 我們 的 人 是 那位 夏洛克 福爾摩斯 嗎,是 ， 他 應該 是 存 在於 這個 世界 的
真的 嗎 ， 有 福爾摩斯 的話,就 等於 多 了 100 人 的 力量 啊
我們 快 走 吧 ， 去 貝克 街,好 啊 ， 只要 能 見到 福爾摩斯
喂 ， 你 不 覺得 那個 鐘 有點 怪 嗎,分針 倒回去 了
這 是 什麼 意思,是 在 被 幹掉 之前 先 把 對方 幹掉 吧
